,Unnamed: 0,Unnamed: 0.1,Event Date 1,Event Date 2,Event-Type 1,Event-Type-health 1,Event-Type-health 2,Event-Type-health 3,Event-Type-health 4,Event-Type-Social 1,Event-Type-Social 2,Event-Type-Social 3,Event-Type-Social 4,Event-Type-Social 5,Event-Type-Social 6,Event-Type-Social 7,Event-Type-Movements 1,Event-Type-Movements 2,Event-Type-Movements 3,Event-Type-Movements 4,Event-Type-Movements 5,Event-Type-Movements 6,Event-Type Security 1,Event-Type Security 2,Event-Type Security 3,Event-Type Security 4,Number of infected migrants,Number of migrant in quarantine,Number of deaths at sea,Number of deaths when crossing borders,Number of rescued people when crossing borders,Number of arrived people by sea,Number of arrived people through boarders,Number of migrants deaths by COVID -19,Number of migrants healed of COVID-19,Number of people deported on sea,Number of people deported through borders,City 1,Latitude-city1_degrees,Latitude-city1_minutes,Latitude-city1_seconds,Latitude-city1_direction,Longitude-city1_degrees,Longitude-city1_minutes,Longitude-city1_seconds,Longitude-city1_direction,City 2,Latitude-city 2_degrees,Latitude-city 2_minutes,Latitude-city 2_seconds,Latitude-city 2_direction,Longitude-city 2_degrees,Longitude-city 2_minutes,Longitude-city 2_seconds,Longitude-city 2_direction,City 3,Latitude-City 3_degrees,Latitude-City 3_minutes,Latitude-City 3_seconds,Latitude-City 3_direction,Longitude-City 3_degrees,Longitude-City 3_minutes,Longitude-City 3_seconds,Longitude-City 3_direction,City 4,Latitude-City 4_degrees,Latitude-City 4_minutes,Latitude-City 4_seconds,Latitude-City 4_direction,Longitude-City 4_degrees,Longitude-City 4_minutes,Longitude-City 4_seconds,Longitude-City 4_direction,Source-Country,Source-date,Source-Type,Language,City,City code,Country
10,4,4,01-01-2020,Movements,Movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,22-08-2020,Written press,Arabic,Tunis,TN-11,Tunisia
11,5,5,16-07-2020,16-07-2020,Social,,,,,accomodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,16-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
12,5,5,16-07-2020,Social,Social,,,,,accomodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,16-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
13,6,6,21-07-2020,21-07-2020,Movements,,,,,,,,,,,,Departures,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,21-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
14,6,6,21-07-2020,Movements,Movements,,,,,,,,,,,,Departures,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,21-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
15,7,7,08-07-2020,08-07-2020,Health,infections,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,TN-42-Kasserine,35.0,10.0,0,N,8.0,50,0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,09-07-2020,Written press,Arabic,Kasserine ,TN-42,Tunisia
16,7,7,08-07-2020,Health,Health,infections,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,TN-42-Kasserine,35.0,10.0,0,N,8.0,50,0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,09-07-2020,Written press,Arabic,Kasserine ,TN-42,Tunisia
17,8,8,15-07-2020,15-07-2020,Movements,,,,,,,,,,,,Departures,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,19-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
18,8,8,15-07-2020,Movements,Movements,,,,,,,,,,,,Departures,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,19-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
19,9,9,01-07-2020,01-07-2020,Social,,,,,Details on lockdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-52-Monastir,35.0,46.0,0,N,10.0,51,0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,01-07-2020,Radio,Arabic,Monastir,TN-52,Tunisia
20,9,9,01-07-2020,Social,Social,,,,,Details on lockdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-52-Monastir,35.0,46.0,0,N,10.0,51,0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,01-07-2020,Radio,Arabic,Monastir,TN-52,Tunisia
21,10,10,28-08-2020,,Movements,,,,,,,,,,,,Arrival by sea,,,,,,,,,,,,,,,,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,35.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,29-08-2020,Video,Arabic,Sicilia,IT-82,Italy
22,10,10,28-08-2020,Movements,Movements,,,,,,,,,,,,Arrival by sea,,,,,,,,,,,,,,,,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,35.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,29-08-2020,Video,Arabic,Sicilia,IT-82,Italy
23,11,11,01-08-2020,,Movements,infections,risk of infections,quarantine,,accomodation,,,,,,,Arrival by sea,,,,,,,,,,,250.0,,,,1000/240,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,TN-11-Tunis,36.0,48,3,N,10.0,10.0,48,E,IT-RM-Roma,41.0,53.0,35,N,12.0,28.0,58,E,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
24,11,11,01-08-2020,Movements,Movements,infections,risk of infections,quarantine,,accomodation,,,,,,,Arrival by sea,,,,,,,,,,,250.0,,,,1000/240,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,TN-11-Tunis,36.0,48,3,N,10.0,10.0,48,E,IT-RM-Roma,41.0,53.0,35,N,12.0,28.0,58,E,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
25,11,11,01-08-2020,Health,Movements,infections,risk of infections,quarantine,,accomodation,,,,,,,Arrival by sea,,,,,,,,,,,250.0,,,,1000/240,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,TN-11-Tunis,36.0,48,3,N,10.0,10.0,48,E,IT-RM-Roma,41.0,53.0,35,N,12.0,28.0,58,E,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
26,11,11,01-08-2020,Social,Movements,infections,risk of infections,quarantine,,accomodation,,,,,,,Arrival by sea,,,,,,,,,,,250.0,,,,1000/240,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,TN-11-Tunis,36.0,48,3,N,10.0,10.0,48,E,IT-RM-Roma,41.0,53.0,35,N,12.0,28.0,58,E,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
27,12,12,15-08-2020,,Movements,,,,,government actions,,,,,,,Departure by sea,Dying in sea,Rescued at sea,,,,,,,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
28,12,12,15-08-2020,Movements,Movements,,,,,government actions,,,,,,,Departure by sea,Dying in sea,Rescued at sea,,,,,,,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
29,12,12,15-08-2020,Social,Movements,,,,,government actions,,,,,,,Departure by sea,Dying in sea,Rescued at sea,,,,,,,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
30,13,13,01-08-2020,,Movements,infections,,,,accomodation,,,,,,,Arrival by sea,deportation,,,,,,,,,,,,,,6383,,,,,37,IT-RM-Roma,41.0,53.0,35,N,12.0,28,58,E,TN-51-Sousse,35.0,50,,N,10.0,38.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
31,13,13,01-08-2020,Movements,Movements,infections,,,,accomodation,,,,,,,Arrival by sea,deportation,,,,,,,,,,,,,,6383,,,,,37,IT-RM-Roma,41.0,53.0,35,N,12.0,28,58,E,TN-51-Sousse,35.0,50,,N,10.0,38.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
32,13,13,01-08-2020,Health,Movements,infections,,,,accomodation,,,,,,,Arrival by sea,deportation,,,,,,,,,,,,,,6383,,,,,37,IT-RM-Roma,41.0,53.0,35,N,12.0,28,58,E,TN-51-Sousse,35.0,50,,N,10.0,38.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
33,13,13,01-08-2020,Social,Movements,infections,,,,accomodation,,,,,,,Arrival by sea,deportation,,,,,,,,,,,,,,6383,,,,,37,IT-RM-Roma,41.0,53.0,35,N,12.0,28,58,E,TN-51-Sousse,35.0,50,,N,10.0,38.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
34,14,14,01-08-2020,,Movements,,,,,,,,,,,,Departure by sea,Rescued at sea,Dying in sea,,,,,,,,,,3,,14,,,,,,,TN-82-Mdenine => Zarzis,33.0,30.0,,N,11.0,7,,E,TN-82-Mdenine => Ben Gardane,33.0,8,20,N,11.0,13.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
35,14,14,01-08-2020,Movements,Movements,,,,,,,,,,,,Departure by sea,Rescued at sea,Dying in sea,,,,,,,,,,3,,14,,,,,,,TN-82-Mdenine => Zarzis,33.0,30.0,,N,11.0,7,,E,TN-82-Mdenine => Ben Gardane,33.0,8,20,N,11.0,13.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
36,15,15,01-08-2020,,Social,,,,,NGOs actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,,,
37,15,15,01-08-2020,Social,Social,,,,,NGOs actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,,,
38,16,16,17-08-2020,,Movements,,,,,NGOs actions,,,,,,,Rescued at sea,Dying in sea,,,,,,,,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
39,16,16,17-08-2020,Movements,Movements,,,,,NGOs actions,,,,,,,Rescued at sea,Dying in sea,,,,,,,,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
40,16,16,17-08-2020,Social,Movements,,,,,NGOs actions,,,,,,,Rescued at sea,Dying in sea,,,,,,,,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
41,17,17,24-03-2020,17-04-2020,Health,infections,quarantine,access to health care,,government actions,NGOs actions,,,,,,,,,,,,Armed clashes,,,,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,LY-MB-Al Marqab => Zlitan,32.0,27.0,50,N,14.0,34.0,21,E,LY-MB-Al Marqab => Khoms,32.0,38.0,59,N,14.0,15.0,52,E,Tunisia,23-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
42,17,17,24-03-2020,Health,Health,infections,quarantine,access to health care,,government actions,NGOs actions,,,,,,,,,,,,Armed clashes,,,,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,LY-MB-Al Marqab => Zlitan,32.0,27.0,50,N,14.0,34.0,21,E,LY-MB-Al Marqab => Khoms,32.0,38.0,59,N,14.0,15.0,52,E,Tunisia,23-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
43,17,17,24-03-2020,Social,Health,infections,quarantine,access to health care,,government actions,NGOs actions,,,,,,,,,,,,Armed clashes,,,,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,LY-MB-Al Marqab => Zlitan,32.0,27.0,50,N,14.0,34.0,21,E,LY-MB-Al Marqab => Khoms,32.0,38.0,59,N,14.0,15.0,52,E,Tunisia,23-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
44,18,18,01-04-2020,,Health,infections,access to health care,,,NGOs actions,Details on lockdown,,,,,,,,,,,,Armed clashes,,,,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-ZA-Az Zawiyah,32.0,45,16,N,12.0,43.0,47,E,LY-ZA-Az Zawiyah => Sorman,32.0,45.0,24,N,12.0,34.0,18,E,LY-ZA-Az Zawiyah => Sabratha,32.0,47.0,32,N,12.0,29.0,3,E,Qatar,19-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
45,18,18,01-04-2020,Health,Health,infections,access to health care,,,NGOs actions,Details on lockdown,,,,,,,,,,,,Armed clashes,,,,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-ZA-Az Zawiyah,32.0,45,16,N,12.0,43.0,47,E,LY-ZA-Az Zawiyah => Sorman,32.0,45.0,24,N,12.0,34.0,18,E,LY-ZA-Az Zawiyah => Sabratha,32.0,47.0,32,N,12.0,29.0,3,E,Qatar,19-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
46,18,18,01-04-2020,Social,Health,infections,access to health care,,,NGOs actions,Details on lockdown,,,,,,,,,,,,Armed clashes,,,,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-ZA-Az Zawiyah,32.0,45,16,N,12.0,43.0,47,E,LY-ZA-Az Zawiyah => Sorman,32.0,45.0,24,N,12.0,34.0,18,E,LY-ZA-Az Zawiyah => Sabratha,32.0,47.0,32,N,12.0,29.0,3,E,Qatar,19-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
47,19,19,01-08-2020,,Health,quarantine,,,,NGOs actions,jobs,,,,,,,,,,,,,,,,,,300 (dbut 2020) 22 (avril2020),,104,,600362,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,,,,,,,,,,,,,,,,,,,Libya,25-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
48,19,19,01-08-2020,Health,Health,quarantine,,,,NGOs actions,jobs,,,,,,,,,,,,,,,,,,300 (dbut 2020) 22 (avril2020),,104,,600362,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,,,,,,,,,,,,,,,,,,,Libya,25-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
49,19,19,01-08-2020,Social,Health,quarantine,,,,NGOs actions,jobs,,,,,,,,,,,,,,,,,,300 (dbut 2020) 22 (avril2020),,104,,600362,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,,,,,,,,,,,,,,,,,,,Libya,25-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
50,20,20,01-05-2020,,Health,risk of infections,access to health care,,,Details on lockdown,government actions,,,,,,deportation,,,,,,Killings,Armed clashes,,,,,,,,,654000,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,IT-RM-Roma,41.0,53,35,N,12.0,28.0,58,E,LY-ZA-Az Zawiyah,32.0,45.0,24,N,12.0,34.0,18,E,,,,,,,,,,UK,08-05-2020,Written press,Arabic,tripoli,LY-TB,Libya
51,20,20,01-05-2020,Health,Health,risk of infections,access to health care,,,Details on lockdown,government actions,,,,,,deportation,,,,,,Killings,Armed clashes,,,,,,,,,654000,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,IT-RM-Roma,41.0,53,35,N,12.0,28.0,58,E,LY-ZA-Az Zawiyah,32.0,45.0,24,N,12.0,34.0,18,E,,,,,,,,,,UK,08-05-2020,Written press,Arabic,tripoli,LY-TB,Libya
52,20,20,01-05-2020,Social,Health,risk of infections,access to health care,,,Details on lockdown,government actions,,,,,,deportation,,,,,,Killings,Armed clashes,,,,,,,,,654000,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,IT-RM-Roma,41.0,53,35,N,12.0,28.0,58,E,LY-ZA-Az Zawiyah,32.0,45.0,24,N,12.0,34.0,18,E,,,,,,,,,,UK,08-05-2020,Written press,Arabic,tripoli,LY-TB,Libya
53,20,20,01-05-2020,Movements,Health,risk of infections,access to health care,,,Details on lockdown,government actions,,,,,,deportation,,,,,,Killings,Armed clashes,,,,,,,,,654000,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,IT-RM-Roma,41.0,53,35,N,12.0,28.0,58,E,LY-ZA-Az Zawiyah,32.0,45.0,24,N,12.0,34.0,18,E,,,,,,,,,,UK,08-05-2020,Written press,Arabic,tripoli,LY-TB,Libya
54,21,21,01-04-2020,,Movements,,,,,,,,,,,,Arrival by sea,Rescued at sea,,,,,,,,,,,,,100,11000 (italy) / 300 (Lampedusa),,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,LY-TB-Tarabulus,32.0,52,"30,68",N,13.0,11.0,"14,86",E,TN-11-Tunis,36.0,48.0,3,N,10.0,10.0,48,E,,,,,,,,,,France,30-07-2020,Written press,Arabic,Sicilia,IT-82,Italy
55,21,21,01-04-2020,Movements,Movements,,,,,,,,,,,,Arrival by sea,Rescued at sea,,,,,,,,,,,,,100,11000 (italy) / 300 (Lampedusa),,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,LY-TB-Tarabulus,32.0,52,"30,68",N,13.0,11.0,"14,86",E,TN-11-Tunis,36.0,48.0,3,N,10.0,10.0,48,E,,,,,,,,,,France,30-07-2020,Written press,Arabic,Sicilia,IT-82,Italy
56,22,22,01-05-2020,,Movements,risk of infections,access to health care,,,Details on lockdown,,,,,,,deportation,Departure by sea,,,,,Killings,Armed clashes,,,,,,,,654000,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,IT-RM-Roma,41.0,53,35,N,12.0,28.0,58,E,LY-MI-Misratah,32.0,22.0,40,N,15.0,5.0,"24,5",E,LY-ZA-Az Zawiyah,32.0,47.0,32,N,12.0,29.0,3,E,France,08-05-2020,Written press,Arabic,tripoli,LY-TB,Libya
57,22,22,01-05-2020,Movements,Movements,risk of infections,access to health care,,,Details on lockdown,,,,,,,deportation,Departure by sea,,,,,Killings,Armed clashes,,,,,,,,654000,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,IT-RM-Roma,41.0,53,35,N,12.0,28.0,58,E,LY-MI-Misratah,32.0,22.0,40,N,15.0,5.0,"24,5",E,LY-ZA-Az Zawiyah,32.0,47.0,32,N,12.0,29.0,3,E,France,08-05-2020,Written press,Arabic,tripoli,LY-TB,Libya
58,22,22,01-05-2020,Social,Movements,risk of infections,access to health care,,,Details on lockdown,,,,,,,deportation,Departure by sea,,,,,Killings,Armed clashes,,,,,,,,654000,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,IT-RM-Roma,41.0,53,35,N,12.0,28.0,58,E,LY-MI-Misratah,32.0,22.0,40,N,15.0,5.0,"24,5",E,LY-ZA-Az Zawiyah,32.0,47.0,32,N,12.0,29.0,3,E,France,08-05-2020,Written press,Arabic,tripoli,LY-TB,Libya
59,22,22,01-05-2020,Health,Movements,risk of infections,access to health care,,,Details on lockdown,,,,,,,deportation,Departure by sea,,,,,Killings,Armed clashes,,,,,,,,654000,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,IT-RM-Roma,41.0,53,35,N,12.0,28.0,58,E,LY-MI-Misratah,32.0,22.0,40,N,15.0,5.0,"24,5",E,LY-ZA-Az Zawiyah,32.0,47.0,32,N,12.0,29.0,3,E,France,08-05-2020,Written press,Arabic,tripoli,LY-TB,Libya
